,Season Number,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name
0,1,1,BluePineFoods,Food,Frozen Momos,https://bluepinefoods.com/,3,2,1,0,0.0,Middle,2016,Delhi,Delhi,95.0,8.0,,,50.0,5.0,1000.0,1,1.0,75.0,16.0,,,469.0,3.0,,,25.0,5.33,,0.0,,,0.0,,,25.0,5.33,,25.0,5.33,,0.0,,,0.0,,,,,,,,,
1,1,2,BoozScooters,Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,1,1,0,0,0.0,Young,2017,Ahmedabad,Gujarat,4.0,0.4,,,40.0,15.0,267.0,1,1.0,40.0,50.0,,,80.0,2.0,,,20.0,25.0,,0.0,,,0.0,,,20.0,25.0,,0.0,,,0.0,,,0.0,,,,,,,,,
2,1,3,HeartUpMySleeves,Beauty,Detachable Sleeves,https://heartupmysleeves.com/,1,0,1,0,0.0,Young,2021,Delhi,Delhi,,2.0,,,25.0,10.0,250.0,1,1.0,25.0,30.0,,,83.0,2.0,,,0.0,,,0.0,,,12.5,15.0,,12.5,15.0,,0.0,,,0.0,,,0.0,,,,,,,,,
3,1,4,TagzFoods,Food,Healthy Potato Chips Snacks,https://tagzfoods.com/,2,2,0,0,0.0,Middle,2019,Bangalore,Karnataka,700.0,,48.0,,70.0,1.0,7000.0,1,1.0,70.0,2.75,,,2545.0,1.0,,,70.0,2.75,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
4,1,5,HeadAndHeart,Education,Brain Development Course,https://thehnh.in/,4,1,3,0,1.0,Middle,2015,Patiala,Punjab,30.0,,,,50.0,5.0,1000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
5,1,6,Agritourism,Agriculture,Tourism,https://www.agritourism.in/,2,1,1,0,1.0,Middle,2005,Baramati,Maharashtra,79.0,,,,50.0,5.0,1000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
6,1,7,qZenseLabs,Food,Food Freshness Detector,https://www.qzense.com/,2,0,2,0,0.0,Middle,2020,"Delhi,Mohali","Delhi,Punjab",25.0,,,,100.0,0.25,40000.0,1,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
7,1,8,Peeschute,Beauty,Disposable Urine Bag,https://www.peeschute.com/,1,1,0,0,0.0,Young,2019,Jalna,Maharashtra,100.0,,,,75.0,4.0,1875.0,1,1.0,75.0,6.0,,,1250.0,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,75.0,6.0,,0.0,,,0.0,,,,,,,,,
8,1,9,NOCD,Food,Energy Drink,https://www.jouleshealth.com/,2,2,0,0,0.0,Middle,2019,Bangalore,Karnataka,,20.0,,,50.0,2.0,2500.0,1,1.0,20.0,15.0,30.0,,133.0,1.0,,,0.0,,,0.0,,,0.0,,,20.0,15.0,30.0,0.0,,,0.0,,,0.0,,,,,,,,,
9,1,10,CosIQ,Beauty,Intelligent Skincare,https://mycosiq.com/,2,1,1,0,1.0,Middle,2021,Delhi,Delhi,,4.0,75.0,,50.0,7.5,667.0,1,1.0,50.0,25.0,,,200.0,2.0,,,0.0,,,0.0,,,25.0,12.5,,25.0,12.5,,0.0,,,0.0,,,0.0,,,,,,,,,
10,1,11,JhaJiAchaar,Food,Pickle,https://www.jhajistore.com/,2,0,2,0,0.0,Old,2021,Darbhanga,Bihar,,5.0,18.0,,50.0,10.0,500.0,1,1.0,56.6,5.62,,,1007.0,2.0,,,0.0,,,28.3,2.81,,0.0,,,28.3,2.81,,0.0,,,0.0,,,0.0,,,,,,,,,
11,1,12,Bummer,Beauty,Underwear,https://bummer.in/,1,1,0,0,0.0,Young,2020,Ahmedabad,Gujarat,,15.0,70.0,,75.0,4.0,1875.0,1,1.0,75.0,7.5,,,1000.0,2.0,,,0.0,,,37.5,3.75,,0.0,,,0.0,,,37.5,3.75,,0.0,,,0.0,,,,,,,,,
12,1,13,RevampMoto,Vehicles,E-Bike Mitra bud-e RM,https://www.revampmoto.in/,3,3,0,0,0.0,Young,,Nashik,Maharashtra,,0.01,,,100.0,1.0,10000.0,1,1.0,100.0,1.5,,,6667.0,2.0,,,0.0,,,0.0,,,50.0,0.75,,0.0,,,50.0,0.75,,0.0,,,0.0,,,,,,,,,
13,1,14,HungryHead,Food,Restaurant serving 80 types of Maggi,http://www.hungryhead.co.in/,2,2,0,0,0.0,Middle,2013,Mumbai,Maharashtra,,5.5,,,50.0,5.0,1000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
14,1,15,ShrawaniEngineers,Beauty,Belly Button Shaper,https://www.shrawaniengineers.com/,2,1,1,0,1.0,Middle,2019,Nagpur,Maharashtra,50.0,,,,20.0,10.0,200.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
15,1,16,SkippiIcePops,Food,Ice-Pops,https://skippi.in/,2,1,1,0,1.0,Middle,,Hyderabad,Telangana,,6.0,,,45.0,5.0,900.0,1,1.0,100.0,15.0,,,667.0,5.0,,,20.0,3.0,,20.0,3.0,,20.0,3.0,,20.0,3.0,,20.0,3.0,,0.0,,,0.0,,,,,,,,,
16,1,17,Menstrupedia,Education,Menstrual Awareness Comic,https://www.menstrupedia.com/,2,1,1,0,1.0,Middle,,Ahmedabad,Gujarat,115.0,,,,50.0,10.0,500.0,1,1.0,50.0,20.0,,,250.0,1.0,,,0.0,,,50.0,20.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
17,1,18,Hecoll,Beauty,Pollution Resistant Fabric - Healthy Cover For All,https://hecoll.com/,1,0,1,0,0.0,Middle,2019,Hyderabad,Telangana,107.0,,,,100.0,1.0,10000.0,0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
18,1,19,RaisingSuperstars,Education,Child Development App,https://raisingsuperstars.com/india-page,2,1,1,0,1.0,Middle,2020,Gurgaon,Haryana,1300.0,,,,100.0,2.0,5000.0,1,1.0,100.0,4.0,,,2500.0,2.0,,,50.0,2.0,,0.0,,,0.0,,,0.0,,,50.0,2.0,,0.0,,,0.0,,,,,,,,,
19,1,20,Torch-it,Education,Gadgets for visually impaired people,https://mytorchit.com/,1,1,0,0,0.0,Middle,2018,Ahmedabad,Gujarat,,1.0,,,75.0,1.0,7500.0,1,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
20,1,21,Kavach,Education,Report bullying incidents,,2,1,1,0,,Young,,Gurgaon,Haryana,,,,,5.0,10.0,50.0,1,1.0,5.0,10.0,,,50.0,2.0,,,0.0,,,0.0,,,2.5,5.0,,0.0,,,2.5,5.0,,0.0,,,0.0,,,,,,,,,
21,1,22,LaKheerDeli,Food,Kheer in variety of flavors,https://lakheerdeli.com/,3,1,2,0,0.0,Middle,,Pune,Maharashtra,,6.0,,,50.0,7.5,667.0,1,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
22,1,23,BeyondSnack,Food,Kerala Banana Chips,https://www.beyondsnack.in/,1,1,0,0,0.0,Middle,,Thiruvananthapuram,Kerala,,20.6,51.0,,50.0,2.5,2000.0,1,1.0,50.0,2.5,,,2000.0,2.0,,,25.0,1.25,,0.0,,,0.0,,,0.0,,,25.0,1.25,,0.0,,,0.0,,,,,,,,,
23,1,24,VivalyfInnovations,Health,Easy Life Prickless Diabetes Testing Machine,https://vivalyf.in/,2,1,1,0,0.0,Young,,Hyderabad,Telangana,,,,,56.0,7.5,747.0,1,1.0,56.0,33.33,,,168.0,2.0,,,0.0,,,0.0,,,28.0,16.66,,0.0,,,0.0,,,28.0,16.66,,0.0,,,,,,,,,
24,1,25,MotionBreeze,Vehicles,Smart Electric Motorcycle,https://www.motionautomotive.in/,4,4,0,0,0.0,Middle,,Vadodara,Gujarat,0.0,,,,30.0,3.0,1000.0,1,1.0,30.0,6.0,,,500.0,1.0,,,30.0,6.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
25,1,26,Altor,Manufacturing,Smart Helmets,https://www.altorsmarthelmet.com/,4,4,0,0,0.0,Young,2019,Kolkata,West Bengal,,,,,50.0,5.0,1000.0,1,1.0,50.0,7.0,,,714.0,2.0,,,0.0,,,25.0,3.5,,0.0,,,0.0,,,25.0,3.5,,0.0,,,0.0,,,,,,,,,
26,1,27,Ariro,Manufacturing,Wooden Toys,https://arirotoys.com/,2,1,1,0,1.0,Young,2020,Chennai,Tamil Nadu,300.0,25.0,50.0,,50.0,2.5,2000.0,1,1.0,50.0,10.0,,,500.0,2.0,,,0.0,,,0.0,,,0.0,,,0.0,,,25.0,5.0,,25.0,5.0,,0.0,,,,,,,,,
27,1,28,KabiraHandmad,Food,Healthy Edible Oils dairy products spices flour,https://www.kabirafoods.com/,2,1,1,0,1.0,Middle,,Jaipur,Rajasthan,,160.0,3.0,,100.0,5.0,2000.0,1,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,
28,1,29,Nuutjob,Beauty,Male Intimate Hygiene deo spray,https://nuutjob.com/,2,0,2,0,0.0,Young,2021,Ahmedabad,Gujarat,,0.002,70.0,,25.0,5.0,500.0,1,1.0,25.0,20.0,,,125.0,3.0,,,0.0,,,8.33,6.66,,0.0,,,0.0,,,8.33,6.66,,8.33,6.66,,0.0,,,,,,,,,
29,1,30,Meatyour,Food,Eggs,https://meatyour.com/,3,3,0,0,0.0,Middle,,Pune,Maharashtra,130.0,2.8,30.0,,30.0,5.0,600.0,1,1.0,30.0,20.0,,,150.0,3.0,,,0.0,,,0.0,,,10.0,6.66,,0.0,,,10.0,6.66,,10.0,6.66,,0.0,,,,,,,,,
30,1,31,EventBeep,Education,Student Community App EdTech,https://www.eventbeep.com/,3,2,1,0,,Young,,Pune,Maharashtra,,,,,30.0,2.0,1500.0,1,1.0,30.0,3.0,,,1000.0,3.0,,,10.0,1.0,,0.0,,,0.0,,,0.0,,,10.0,1.0,,10.0,1.0,,0.0,,,,,,,,,
